4.44e-12 7.56e-12 1.27e-11 2.08e-11 3.37e-11 5.34e-11 8.32e-11 1.27e-10 1.91e-10 2.82e-10 4.09e-10 5.82e-10 8.13e-10 1.12e-09 1.50e-09 1.99e-09 2.59e-09 3.31e-09 4.14e-09 5.10e-09 6.17e-09 7.33e-09 8.55e-09 9.79e-09 1.10e-08 1.22e-08 1.32e-08 1.41e-08 1.47e-08 1.51e-08 1.53e-08 1.51e-08 1.47e-08 1.41e-08 1.32e-08 1.22e-08 1.10e-08 9.79e-09 8.55e-09 7.33e-09 6.17e-09 5.10e-09 4.14e-09 3.31e-09 2.59e-09 1.99e-09 1.50e-09 1.12e-09 8.13e-10 5.82e-10 4.09e-10 2.82e-10 1.91e-10 1.27e-10 8.32e-11 5.34e-11 3.37e-11 2.08e-11 1.27e-11 7.56e-12
9.07e-12 1.55e-11 2.59e-11 4.26e-11 6.88e-11 1.09e-10 1.70e-10 2.60e-10 3.91e-10 5.77e-10 8.36e-10 1.19e-09 1.66e-09 2.28e-09 3.08e-09 4.07e-09 5.29e-09 6.76e-09 8.47e-09 1.04e-08 1.26e-08 1.50e-08 1.75e-08 2.00e-08 2.25e-08 2.49e-08 2.70e-08 2.87e-08 3.01e-08 3.09e-08 3.12e-08 3.09e-08 3.01e-08 2.87e-08 2.70e-08 2.49e-08 2.25e-08 2.00e-08 1.75e-08 1.50e-08 1.26e-08 1.04e-08 8.47e-09 6.76e-09 5.29e-09 4.07e-09 3.08e-09 2.28e-09 1.66e-09 1.19e-09 8.36e-10 5.77e-10 3.91e-10 2.60e-10 1.70e-10 1.09e-10 6.88e-11 4.26e-11 2.59e-11 1.55e-11
1.81e-11 3.09e-11 5.17e-11 8.50e-11 1.37e-10 2.18e-10 3.39e-10 5.19e-10 7.80e-10 1.15e-09 1.67e-09 2.37e-09 3.32e-09 4.55e-09 6.14e-09 8.12e-09 1.06e-08 1.35e-08 1.69e-08 2.08e-08 2.52e-08 2.99e-08 3.49e-08 3.99e-08 4.49e-08 4.96e-08 5.38e-08 5.73e-08 6.00e-08 6.17e-08 6.22e-08 6.17e-08 6.00e-08 5.73e-08 5.38e-08 4.96e-08 4.49e-08 3.99e-08 3.49e-08 2.99e-08 2.52e-08 2.08e-08 1.69e-08 1.35e-08 1.06e-08 8.12e-09 6.14e-09 4.55e-09 3.32e-09 2.37e-09 1.67e-09 1.15e-09 7.80e-10 5.19e-10 3.39e-10 2.18e-10 1.37e-10 8.50e-11 5.17e-11 3.09e-11
3.52e-11 6.01e-11 1.01e-10 1.66e-10 2.67e-10 4.24e-10 6.61e-10 1.01e-09 1.52e-09 2.24e-09 3.25e-09 4.62e-09 6.46e-09 8.87e-09 1.20e-08 1.58e-08 2.06e-08 2.63e-08 3.29e-08 4.05e-08 4.90e-08 5.82e-08 6.79e-08 7.78e-08 8.75e-08 9.66e-08 1.05e-07 1.12e-07 1.17e-07 1.20e-07 1.21e-07 1.20e-07 1.17e-07 1.12e-07 1.05e-07 9.66e-08 8.75e-08 7.78e-08 6.79e-08 5.82e-08 4.90e-08 4.05e-08 3.29e-08 2.63e-08 2.06e-08 1.58e-08 1.20e-08 8.87e-09 6.46e-09 4.62e-09 3.25e-09 2.24e-09 1.52e-09 1.01e-09 6.61e-10 4.24e-10 2.67e-10 1.66e-10 1.01e-10 6.01e-11
6.70e-11 1.14e-10 1.91e-10 3.15e-10 5.08e-10 8.06e-10 1.26e-09 1.92e-09 2.89e-09 4.26e-09 6.18e-09 8.79e-09 1.23e-08 1.69e-08 2.27e-08 3.01e-08 3.91e-08 4.99e-08 6.26e-08 7.71e-08 9.32e-08 1.11e-07 1.29e-07 1.48e-07 1.66e-07 1.84e-07 1.99e-07 2.12e-07 2.22e-07 2.28e-07 2.30e-07 2.28e-07 2.22e-07 2.12e-07 1.99e-07 1.84e-07 1.66e-07 1.48e-07 1.29e-07 1.11e-07 9.32e-08 7.71e-08 6.26e-08 4.99e-08 3.91e-08 3.01e-08 2.27e-08 1.69e-08 1.23e-08 8.79e-09 6.18e-09 4.26e-09 2.89e-09 1.92e-09 1.26e-09 8.06e-10 5.08e-10 3.15e-10 1.91e-10 1.14e-10
1.24e-10 2.12e-10 3.55e-10 5.84e-10 9.43e-10 1.50e-09 2.33e-09 3.57e-09 5.36e-09 7.91e-09 1.15e-08 1.63e-08 2.28e-08 3.13e-08 4.22e-08 5.58e-08 7.26e-08 9.26e-08 1.16e-07 1.43e-07 1.73e-07 2.05e-07 2.40e-07 2.74e-07 3.09e-07 3.41e-07 3.70e-07 3.94e-07 4.12e-07 4.24e-07 4.27e-07 4.24e-07 4.12e-07 3.94e-07 3.70e-07 3.41e-07 3.09e-07 2.74e-07 2.40e-07 2.05e-07 1.73e-07 1.43e-07 1.16e-07 9.26e-08 7.26e-08 5.58e-08 4.22e-08 3.13e-08 2.28e-08 1.63e-08 1.15e-08 7.91e-09 5.36e-09 3.57e-09 2.33e-09 1.50e-09 9.43e-10 5.84e-10 3.55e-10 2.12e-10
2.25e-10 3.84e-10 6.43e-10 1.06e-09 1.71e-09 2.71e-09 4.22e-09 6.46e-09 9.71e-09 1.43e-08 2.08e-08 2.95e-08 4.13e-08 5.67e-08 7.64e-08 1.01e-07 1.31e-07 1.68e-07 2.10e-07 2.59e-07 3.13e-07 3.72e-07 4.34e-07 4.97e-07 5.59e-07 6.17e-07 6.70e-07 7.14e-07 7.47e-07 7.67e-07 7.74e-07 7.67e-07 7.47e-07 7.14e-07 6.70e-07 6.17e-07 5.59e-07 4.97e-07 4.34e-07 3.72e-07 3.13e-07 2.59e-07 2.10e-07 1.68e-07 1.31e-07 1.01e-07 7.64e-08 5.67e-08 4.13e-08 2.95e-08 2.08e-08 1.43e-08 9.71e-09 6.46e-09 4.22e-09 2.71e-09 1.71e-09 1.06e-09 6.43e-10 3.84e-10
3.98e-10 6.79e-10 1.14e-09 1.87e-09 3.02e-09 4.79e-09 7.46e-09 1.14e-08 1.72e-08 2.53e-08 3.67e-08 5.22e-08 7.30e-08 1.00e-07 1.35e-07 1.79e-07 2.32e-07 2.97e-07 3.72e-07 4.58e-07 5.54e-07 6.58e-07 7.67e-07 8.78e-07 9.88e-07 1.09e-06 1.18e-06 1.26e-06 1.32e-06 1.36e-06 1.37e-06 1.36e-06 1.32e-06 1.26e-06 1.18e-06 1.09e-06 9.88e-07 8.78e-07 7.67e-07 6.58e-07 5.54e-07 4.58e-07 3.72e-07 2.97e-07 2.32e-07 1.79e-07 1.35e-07 1.00e-07 7.30e-08 5.22e-08 3.67e-08 2.53e-08 1.72e-08 1.14e-08 7.46e-09 4.79e-09 3.02e-09 1.87e-09 1.14e-09 6.79e-10
6.87e-10 1.17e-09 1.96e-09 3.23e-09 5.21e-09 8.27e-09 1.29e-08 1.97e-08 2.96e-08 4.37e-08 6.33e-08 9.01e-08 1.26e-07 1.73e-07 2.33e-07 3.08e-07 4.01e-07 5.12e-07 6.42e-07 7.90e-07 9.55e-07 1.13e-06 1.32e-06 1.52e-06 1.70e-06 1.88e-06 2.04e-06 2.18e-06 2.28e-06 2.34e-06 2.36e-06 2.34e-06 2.28e-06 2.18e-06 2.04e-06 1.88e-06 1.70e-06 1.52e-06 1.32e-06 1.13e-06 9.55e-07 7.90e-07 6.42e-07 5.12e-07 4.01e-07 3.08e-07 2.33e-07 1.73e-07 1.26e-07 9.01e-08 6.33e-08 4.37e-08 2.96e-08 1.97e-08 1.29e-08 8.27e-09 5.21e-09 3.23e-09 1.96e-09 1.17e-09
1.16e-09 1.97e-09 3.30e-09 5.43e-09 8.77e-09 1.39e-08 2.17e-08 3.32e-08 4.98e-08 7.36e-08 1.07e-07 1.52e-07 2.12e-07 2.91e-07 3.92e-07 5.19e-07 6.75e-07 8.62e-07 1.08e-06 1.33e-06 1.61e-06 1.91e-06 2.23e-06 2.55e-06 2.87e-06 3.17e-06 3.44e-06 3.66e-06 3.83e-06 3.94e-06 3.98e-06 3.94e-06 3.83e-06 3.66e-06 3.44e-06 3.17e-06 2.87e-06 2.55e-06 2.23e-06 1.91e-06 1.61e-06 1.33e-06 1.08e-06 8.62e-07 6.75e-07 5.19e-07 3.92e-07 2.91e-07 2.12e-07 1.52e-07 1.07e-07 7.36e-08 4.98e-08 3.32e-08 2.17e-08 1.39e-08 8.77e-09 5.43e-09 3.30e-09 1.97e-09
