4.999752659804879672e-03 5.123681613802185808e+01
1.499925797941463815e-02 3.107298736349276780e+00
2.499876329902439923e-02 1.999923627370604473e+00
3.499826861863415683e-02 1.488007909939800699e+00
4.499777393824391791e-02 1.215664972281342404e+00
5.499727925785367899e-02 1.046959344645427725e+00
6.499678457746342619e-02 9.123050127553697930e-01
7.499628989707318727e-02 8.117694049195784967e-01
8.499579521668294835e-02 7.383399770636585036e-01
9.499530053629270943e-02 6.800144902910498779e-01
1.049948058559024705e-01 6.279598362003517842e-01
1.149943111755122316e-01 5.835920092681253779e-01
1.249938164951219788e-01 5.480572907372974756e-01
1.349933218147317537e-01 5.169054122529693762e-01
1.449928271343415009e-01 4.860232470022688434e-01
1.549923324539512759e-01 4.677501754237996523e-01
1.649918377735610231e-01 4.595239217980675028e-01
1.749913430931707703e-01 4.260120525194692753e-01
1.849908484127805453e-01 4.099641151184520993e-01
1.949903537323902925e-01 4.030864276608716046e-01
2.049898590520000674e-01 3.742271116624028005e-01
2.149893643716098146e-01 3.639105804760328633e-01
2.249888696912195896e-01 3.625620143078810420e-01
2.349883750108293368e-01 3.406478140753980144e-01
2.449878803304390840e-01 3.409849556174352481e-01
2.549873856500488589e-01 3.350512644775629489e-01
2.649868909696586616e-01 3.206216064783288799e-01
2.749863962892684088e-01 3.159690531982016770e-01
2.849859016088781560e-01 3.068662315631702775e-01
2.949854069284879032e-01 3.036296727596018985e-01
3.049849122480977059e-01 2.894697279939991152e-01
3.149844175677074531e-01 2.921668603303047007e-01
3.249839228873172003e-01 2.969542702272471857e-01
3.349834282069269475e-01 2.843451765550185084e-01
3.449829335265366947e-01 2.723429376584570183e-01
3.549824388461464975e-01 2.698480902473758825e-01
3.649819441657562447e-01 2.772652041722162286e-01
3.749814494853659919e-01 2.660046766681403718e-01
3.849809548049757391e-01 2.625658329393492085e-01
3.949804601245855418e-01 2.527212999118352288e-01
4.049799654441952890e-01 2.499567392671220023e-01
