1.000000000000000000e+00 8.780407807500000272e-01 3.527329111560000008e-02 8.007633749120000033e-01 5.841470755170000140e-02 6.911604062949999738e-01 1.739136433209999971e-02 5.235685452480000057e-01 1.471517941030000068e-02 5.622081658640000201e-01 1.729609796690000090e-01
1.500000000000000000e+00 9.751388420909999910e-01 9.981495296400000328e-02 1.398554023320000006e+00 6.391662264840000107e-01 7.820679739560000288e-01 7.060748781179999878e-02 6.130121960269999670e-01 5.020581551150000293e-02 3.951520588479999763e-01 1.144240309280000062e-02
2.000000000000000000e+00 9.569369585170000025e-01 5.689160672210000214e-02 9.781006923889999927e-01 9.100218382409999696e-02 7.574408277769999476e-01 5.211753375869999927e-02 6.807161393489999934e-01 6.017043082210000310e-02 4.308568248840000114e-01 2.624857586790000155e-02
2.500000000000000000e+00 9.028617518299999478e-01 2.226195993580000129e-02 8.561893476109999623e-01 5.092624064839999798e-02 7.657342648110000427e-01 3.881838649049999812e-02 5.910538977000000527e-01 1.714677617420000064e-02 4.226259626659999991e-01 1.070816248770000041e-02
3.000000000000000000e+00 8.717645159489999518e-01 1.485292402120000008e-02 1.101644396700000028e+00 2.813330291769999825e-01 7.269285998640000468e-01 1.609954276449999944e-02 6.034934793630000183e-01 3.251548460479999902e-02 4.617435178900000103e-01 2.903988848600000047e-02
3.500000000000000000e+00 9.272706889439999989e-01 3.386318947999999995e-02 7.926296455050000356e-01 2.054196162790000030e-02 7.307627062939999751e-01 3.387539008280000125e-02 6.792662405199999531e-01 7.620764965689999504e-02 4.619214295840000095e-01 2.564504717929999913e-02
4.000000000000000000e+00 1.177353162810000020e+00 2.677339200809999986e-01 9.227606325870000292e-01 8.093504651940000572e-02 7.631232314100000469e-01 2.945909043209999842e-02 6.446833794249999805e-01 4.731234330839999974e-02 4.336680936069999825e-01 1.405338611519999989e-02
4.500000000000000000e+00 8.850161761460000331e-01 1.759323688840000108e-02 1.533043509100000090e+00 7.186618186530000507e-01 7.376282941099999713e-01 2.274484276320000095e-02 6.026115831189999827e-01 1.777120960589999993e-02 4.530897477740000179e-01 2.562351488230000043e-02
5.000000000000000000e+00 9.452730410720000531e-01 3.874879554789999875e-02 8.001904112059999852e-01 2.024930755699999932e-02 7.219157666729999479e-01 1.595649213450000062e-02 5.995336396799999523e-01 1.921648199640000124e-02 4.573341855940000200e-01 2.221068206899999911e-02
5.500000000000000000e+00 9.392240922879999676e-01 3.467400392699999945e-02 8.061016555079999479e-01 1.914584276869999921e-02 8.179586736749999698e-01 6.888201262479999587e-02 6.397902737099999682e-01 6.403172368760000344e-02 5.059471910839999920e-01 5.012167301679999742e-02
6.000000000000000000e+00 9.476559053309999703e-01 4.841196036150000048e-02 8.180953433580000489e-01 3.392252165049999824e-02 8.212664170610000092e-01 5.450982430509999921e-02 5.986360563839999704e-01 2.105997070559999934e-02 4.523846085900000147e-01 2.148992750739999943e-02
