0.000000000000000000e+00 1.212471162069999958e-04 1.207270318059999975e-04 1.213613284120000066e-04 1.225094687569999881e-04 1.213397954719999954e-04 1.211192783879999933e-04 1.204576782739999967e-04 1.206327187450000060e-04 1.215021041960000030e-04
1.000000000000000000e+00 1.611621456399999917e-04 1.605770776199999907e-04 1.613876370230000014e-04 1.629637722470000081e-04 1.613874629959999969e-04 1.610770711630000020e-04 1.601759296279999900e-04 1.604288917109999914e-04 1.616141690510000065e-04
2.000000000000000000e+00 2.054973462890000125e-04 2.047768341220000058e-04 2.058814465529999976e-04 2.079591041159999933e-04 2.058640592869999983e-04 2.052993766379999907e-04 2.043743847670000048e-04 2.048174922239999907e-04 2.063650670750000074e-04
3.000000000000000000e+00 2.486539993860000007e-04 2.471893392570000234e-04 2.488532095960000043e-04 2.515439055880000019e-04 2.490354081569999957e-04 2.484104907110000070e-04 2.471044811710000145e-04 2.479709304630000233e-04 2.502915258140000132e-04
4.000000000000000000e+00 2.843770225160000150e-04 2.828782099209999870e-04 2.840987448810000236e-04 2.884626760469999741e-04 2.839496028250000160e-04 2.846173619470000163e-04 2.838851846160000015e-04 2.849565712849999924e-04 2.886346996909999784e-04
5.000000000000000000e+00 3.104502996470000133e-04 3.098710531559999756e-04 3.103657165480000263e-04 3.154889153139999944e-04 3.101797602050000236e-04 3.116188037339999786e-04 3.128658259180000143e-04 3.138385698519999918e-04 3.199355578369999869e-04
6.000000000000000000e+00 3.267005437610000121e-04 3.272852338720000213e-04 3.268757198980000076e-04 3.339927649970000152e-04 3.265169324359999963e-04 3.302292733189999998e-04 3.357913756960000237e-04 3.376580424759999970e-04 3.465289928059999813e-04
7.000000000000000000e+00 3.357185022219999764e-04 3.395858808859999892e-04 3.385488682750000065e-04 3.448617903240000005e-04 3.386262769270000149e-04 3.407509070019999970e-04 3.521416799210000241e-04 3.611167977360000094e-04 3.675043061069999876e-04
8.000000000000000000e+00 3.519017110060000111e-04 3.530314460959999988e-04 3.516158579219999893e-04 3.626770940440000152e-04 3.535691733960000076e-04 3.471951834000000059e-04 3.663751484490000015e-04 3.852174780000000229e-04 3.977605592359999970e-04
9.000000000000000000e+00 3.693113561270000024e-04 3.772503503330000042e-04 3.711263519310000186e-04 3.793601997419999853e-04 3.655842993130000189e-04 3.508453881949999821e-04 3.726312069120000159e-04 4.247760790530000132e-04 4.358237337580000027e-04
1.000000000000000000e+01 4.012788696659999967e-04 4.157386148819999946e-04 4.019070188210000015e-04 4.136838096289999949e-04 3.800619753290000236e-04 3.519565812660000164e-04 3.821785645209999863e-04 4.822187762369999943e-04 4.928107201800000468e-04
1.100000000000000000e+01 4.396231309570000070e-04 4.721976068170000151e-04 4.369579388980000074e-04 4.522488673899999786e-04 3.802363488069999899e-04 3.453757626819999992e-04 3.809604556540000029e-04 5.427032601109999703e-04 5.557283700129999650e-04
1.200000000000000000e+01 4.788012951029999779e-04 5.186473673880000234e-04 4.723911054410000177e-04 4.956735007480000000e-04 3.750183947369999972e-04 3.259106428319999806e-04 3.771519731490000169e-04 5.787081161279999464e-04 6.186206902269999683e-04
1.300000000000000000e+01 5.219551763819999879e-04 5.381350655170000523e-04 4.397204185510000091e-04 5.136077507430000105e-04 3.613859239189999920e-04 3.143605615109999881e-04 3.712390969999999793e-04 6.216442093149999841e-04 6.877694738360000263e-04
1.400000000000000000e+01 5.286859635609999618e-04 4.997149829989999681e-04 4.839449310019999805e-04 4.888785269680000429e-04 3.377538450159999796e-04 3.155110395680000082e-04 3.863091275319999792e-04 6.177120746189999683e-04 6.935539122390000158e-04
